model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,best_epoch,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,hateval-women,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,71350,8.0,0.6030956519743673,0.7172891890581664,0.6610080408071435,0.6168478260869565,0.6769759450171822,0.5262689225289403,0.9486356340288925,0.5292153589315526,0.9083094555873925,0.37338044758539457
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,waseem-racism,waseem-racism,IN_TRAINING,8,8,1e-05,32,10192,71350,8.0,0.6262898470609913,0.8493935032894737,0.595989828563166,0.8757062146892656,0.32098765432098764,0.8210526315789474,0.19948849104859334,0.931592039800995,0.877734375,0.9924911660777385
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,evalita,waseem-racism,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,10192,71350,8.0,0.6784662322342254,0.693074018225353,0.6788647342995169,0.689,0.6202686202686203,0.7075208913649025,0.5521739130434783,0.7366638441998307,0.6786271450858035,0.8055555555555556
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,waseem-sexism,waseem-racism,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,10192,71350,8.0,0.4790511664201653,0.7036687631027254,0.518018522385681,0.782593739250086,0.08139534883720931,0.6222222222222222,0.04354587869362364,0.8767069840031213,0.7851153039832285,0.9924911660777385
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,evalita,evalita,IN_TRAINING,8,8,1e-05,32,4799,4799,8.0,0.7100579783717298,0.7098826243137066,0.7109903381642513,0.711,0.6935312831389183,0.6770186335403726,0.7108695652173913,0.7265846736045412,0.7427466150870407,0.7111111111111111
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,waseem-racism,evalita,ZERO_SHOT,8,8,1e-05,32,4799,4799,8.0,0.46869734069200797,0.4795044797449568,0.4966302314442446,0.8361581920903954,0.026845637583892617,0.10714285714285714,0.015345268542199489,0.9105490438001234,0.8518661023470565,0.9779151943462897
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,ibereval,evalita,ZERO_SHOT,8,8,1e-05,32,4799,4799,8.0,0.720494503144116,0.7541597932737691,0.7126083800620568,0.7520661157024794,0.6265560165975104,0.7587939698492462,0.5335689045936396,0.8144329896907216,0.7495256166982922,0.891647855530474
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,hateval-immigrant,evalita,ZERO_SHOT,8,8,1e-05,32,4799,4799,8.0,0.38561770809916174,0.5409029192124915,0.5028625989072236,0.580386924616411,0.03969465648854962,0.5,0.02066772655007949,0.7315407597097738,0.581805838424983,0.9850574712643678
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,davidson,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,8.0,0.7722848621517422,0.8408611703387823,0.7418597027972027,0.8497316636851521,0.6394849785407726,0.8277777777777777,0.5209790209790209,0.9050847457627119,0.8539445628997868,0.9627403846153846
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,founta_hateful_57k,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,8.0,0.680229679140089,0.8253026655546326,0.6315079410673137,0.9394996077063901,0.3922942206654991,0.7044025157232704,0.27184466019417475,0.9681651376146789,0.9462028153859948,0.9911712219404527
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,hateval-women,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,8.0,0.4451312488558751,0.6816928035703217,0.5665025608448803,0.5033967391304348,0.624935864545921,0.4592760180995475,0.9775280898876404,0.26532663316582916,0.9041095890410958,0.15547703180212014
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,waseem-sexism,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,8.0,0.5206367808226203,0.6832499702274621,0.538052497952948,0.7843137254901961,0.16511318242343542,0.5740740740740741,0.09642301710730948,0.8761603792218052,0.7924258663808503,0.9796819787985865
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,1,evalita,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,14991,8.0,0.47903524860061336,0.6607074581580927,0.5524557165861513,0.585,0.24408014571949,0.7528089887640449,0.14565217391304347,0.7139903514817367,0.5686059275521405,0.9592592592592593
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,1,waseem-racism,waseem-racism,IN_TRAINING,8,8,1e-05,32,10192,14991,8.0,0.8338684210526316,0.8464733386390768,0.8226138242975789,0.9193973634651601,0.7146666666666667,0.7465181058495822,0.6854219948849105,0.9530701754385965,0.9464285714285714,0.9598056537102474
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,1,ibereval,waseem-racism,ZERO_SHOT,8,8,1e-05,32,10192,14991,8.0,0.4047612705009013,0.745299442896936,0.5112388229945202,0.6184573002754821,0.048109965635738834,0.875,0.024734982332155476,0.7614125753660638,0.6155988857938719,0.9977426636568849
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,1,hateval-immigrant,waseem-racism,ZERO_SHOT,8,8,1e-05,32,10192,14991,8.0,0.3925715810593107,0.7617371881321645,0.5113489757505985,0.5897264843228819,0.046511627906976744,0.9375,0.02384737678855326,0.7386315342116447,0.585974376264329,0.9988505747126437
